"State","Total_Transaction_Volume","Total_Transaction_Amount"
"Karnataka",3323163869,3971406676116
"Bihar",1282838881,1727490686085
"Maharashtra",1233976183,1603485974610
"Andhra Pradesh",1105306416,1643786468314
"Madhya Pradesh",1053944736,1210264372235
"Uttar Pradesh",1045278453,1408742247003
"Odisha",956418088,1075090167987
"West Bengal",942103977,1366452576486
"Delhi",910543082,1057061047910
"Gujarat",656463400,829148432384
"Tamil Nadu",620138933,849048338581
"Haryana",618943396,766247716478
"Telangana",533842406,840351891518
"Rajasthan",494847544,668373893524
"Chhattisgarh",354082980,398954949807
"Assam",280296058,330970126400
"Kerala",173923374,204014285297
"Uttarakhand",171136132,194908790959
"Punjab",156312647,218906867436
"Himachal Pradesh",53798398,63736996234
"Goa",46131536,56562589543
"Jharkhand",38436326,47446025248
"Chandigarh",18528444,20501385889
"Arunachal Pradesh",18437409,25397046991
"Puducherry",16559677,19965392547
"Tripura",15945159,22409905268
"Meghalaya",14166380,19674927433
"Nagaland",7921552,13959098676
"Manipur",5750423,12061708556
"Sikkim",4591093,6712084582
"Mizoram",2597416,4269939821
"Ladakh",1419677,2024160245
"Lakshadweep",197777,247756681
