"State"            , "Total_Transaction_Volume", "Total_Transaction_Amount", "Volume_Percentage"
"Karnataka"        ,                 3323163869,              3971406676116, 20.5666250007804
"Bihar"            ,                 1282838881,              1727490686085,  7.93932145449301
"Maharashtra"      ,                 1233976183,              1603485974610,  7.63691663008248
"Andhra Pradesh"   ,                 1105306416,              1643786468314,  6.84059633076991
"Madhya Pradesh"   ,                 1053944736,              1210264372235,  6.52272563476721
"Uttar Pradesh"    ,                 1045278453,              1408742247003,  6.46909114677993
"Odisha"           ,                  956418088,              1075090167987,  5.91914601123131
"West Bengal"      ,                  942103977,              1366452576486,  5.83055785706209
"Delhi"            ,                  910543082,              1057061047910,  5.63523162045694
"Gujarat"          ,                  656463400,               829148432384,  4.06276581798539
"Tamil Nadu"       ,                  620138933,               849048338581,  3.83795845951859
"Haryana"          ,                  618943396,               766247716478,  3.83055943794673
"Telangana"        ,                  533842406,               840351891518,  3.30388058083342
"Rajasthan"        ,                  494847544,               668373893524,  3.06254649821639
"Chhattisgarh"     ,                  354082980,               398954949807,  2.19137308778281
"Assam"            ,                  280296058,               330970126400,  1.7347155124847
"Kerala"           ,                  173923374,               204014285297,  1.07638893323815
"Uttarakhand"      ,                  171136132,               194908790959,  1.05913905834177
"Punjab"           ,                  156312647,               218906867436,  0.967398455344832
"Himachal Pradesh" ,                   53798398,                63736996234,  0.33295122387139
"Goa"              ,                   46131536,                56562589543,  0.28550202127333
"Jharkhand"        ,                   38436326,                47446025248,  0.237877376624109
"Chandigarh"       ,                   18528444,                20501385889,  0.114670107950659
"Arunachal Pradesh",                   18437409,                25397046991,  0.114106704284529
"Puducherry"       ,                   16559677,                19965392547,  0.102485667399704
"Tripura"          ,                   15945159,                22409905268,  0.0986824961567425
"Meghalaya"        ,                   14166380,                19674927433,  0.0876738664007649
"Nagaland"         ,                    7921552,                13959098676,  0.0490254455785255
"Manipur"          ,                    5750423,                12061708556,  0.0355886131707526
"Sikkim"           ,                    4591093,                 6712084582,  0.0284136719695142
"Mizoram"          ,                    2597416,                 4269939821,  0.0160750666981409
"Ladakh"           ,                    1419677,                 2024160245,  0.00878619461219018
"Lakshadweep"      ,                     197777,                  247756681,  0.0012240158936259
